model,n,exact_hex_pct,err_le_10_pct,err_le_20_pct,err_le_30_pct,err_le_50_pct,mean_error,median_error
gpt-4o,1000,0.0,5.6000000000000005,26.3,49.1,80.9,35.114895093550174,30.4302481094059
gpt-4o-mini,1000,0.0,1.2,8.0,18.3,43.1,60.71187996106171,54.79963199693615
gpt-5,1000,0.0,5.1,23.400000000000002,48.4,87.1,32.040759773110395,30.421977104817152
gpt-5.1,1000,0.0,7.7,35.8,64.3,93.7,26.959082559542637,24.8394846967484
gpt-5.2,1000,0.0,1.4000000000000001,8.4,22.8,54.1,52.481453605260484,47.2810717769639
gpt-5.4,1000,0.0,2.0,10.5,24.099999999999998,59.8,47.61719757178533,43.766422133217
gpt-5.5,1000,0.1,2.5,13.3,26.900000000000002,62.9,45.97223204830689,43.0116263352131
